Loss_clean_graph,Loss_dirty_graph
14.949837684631348,14.874032974243164
14.602571487426758,15.14865779876709
14.490050315856934,15.263126373291016
14.55858039855957,15.02646255493164
14.771761894226074,15.390327453613281
14.124275207519531,15.062843322753906
15.50343132019043,15.599725723266602
14.807106018066406,14.303718566894531
14.60008716583252,14.98173999786377
14.892730712890625,14.535499572753906
14.556997299194336,15.164180755615234
14.871106147766113,15.130611419677734
15.011663436889648,15.14400863647461
15.024068832397461,15.1570463180542
15.174203872680664,15.119348526000977
14.903230667114258,15.256227493286133
14.142950057983398,14.42074966430664
13.932355880737305,15.54514217376709
15.08366584777832,15.436830520629883
14.978984832763672,15.251496315002441
14.965319633483887,14.955984115600586
14.592508316040039,14.483898162841797
14.42717456817627,15.101354598999023
14.821383476257324,14.934568405151367
14.31277847290039,15.754343032836914
14.176158905029297,15.054243087768555
15.085277557373047,15.501375198364258
15.91794204711914,14.825545310974121
14.81971263885498,14.991415023803711
15.091649055480957,15.094642639160156
14.693924903869629,15.335700035095215
14.16749382019043,15.320318222045898
14.193140983581543,15.084059715270996
14.757534980773926,15.541831016540527
14.613021850585938,14.836057662963867
14.8204984664917,15.741321563720703
16.458213806152344,14.777694702148438
15.259206771850586,15.496370315551758
15.09292984008789,15.578420639038086
14.721220016479492,14.991119384765625
14.232451438903809,16.144084930419922
14.660490036010742,15.492706298828125
14.408084869384766,14.750929832458496
15.242053031921387,14.858656883239746
15.093317031860352,14.95319652557373
14.599014282226562,14.67344856262207
15.113988876342773,15.418352127075195
14.851960182189941,15.428589820861816
14.94395923614502,15.542428970336914
14.440706253051758,15.157397270202637
14.675088882446289,15.037590980529785
14.515024185180664,15.012487411499023
14.5798921585083,15.4754638671875
14.616640090942383,15.817634582519531
14.637174606323242,14.787680625915527
15.042451858520508,15.731709480285645
15.398887634277344,15.019207954406738
15.533329010009766,15.15394401550293
14.581256866455078,15.645363807678223
14.676416397094727,15.715669631958008
15.03592300415039,15.40478801727295
15.436662673950195,15.130003929138184
14.777461051940918,15.282367706298828
14.75505256652832,14.867809295654297
15.143288612365723,15.419072151184082
14.618555068969727,14.941161155700684
14.347582817077637,14.880821228027344
15.799858093261719,14.775361061096191
15.175224304199219,14.941500663757324
14.631431579589844,15.08735466003418
14.719738006591797,14.895862579345703
14.898740768432617,14.742454528808594
15.036865234375,14.720206260681152
14.331239700317383,15.030073165893555
15.350085258483887,15.475881576538086
15.1500244140625,15.616690635681152
14.550345420837402,15.03011703491211
15.577924728393555,14.710405349731445
14.349828720092773,15.501383781433105
14.556901931762695,14.54309368133545
14.708078384399414,15.283291816711426
14.966899871826172,15.713094711303711
14.9461030960083,14.773154258728027
14.69606876373291,14.81092357635498
16.46017074584961,14.942460060119629
15.281947135925293,14.756497383117676
